Titel,Brand,Kategorie,SKU,Barcode (EAN/GTIN),Highlights,Description,Attributes,Price,BIN,Quantity
CORSAIR PC-Netzteil RM1000x 1000W ATX 3.1 PCIe 5.1 Zukunftssicher,CORSAIR,Münzen > Historische Wertpapiere > USA & Kanada > Elektronik & Computer,SKU-7473377331,0840006667636,Ultimative 1000W Leistung für anspruchsvolle Gaming-PCs und Workstations. | Zukunftssicher dank ATX 3.1 und PCIe 5.1 mit 12V-2x6 Anschluss. | Makelloses Kabelmanagement durch vollmobulares Design. | Exzellente Energieeffizienz mit Cybenetics Gold Zertifizierung. | Flüsterleiser Betrieb dank intelligentem Zero RPM Modus. | Unerschütterliche Zuverlässigkeit dank hochwertiger japanischer 105°C Kondensatoren.,"Das CORSAIR RM1000x Netzteil liefert eine herausragende und stabile 1000 Watt Dauerleistung, ideal für anspruchsvollste Gaming-PCs und professionelle Workstations. Es unterstützt den neuesten ATX 3.1 Standard und PCIe 5.1, inklusive eines dedizierten 12V-2x6 Anschlusses, um modernste Grafikkarten zukunftssicher zu versorgen und maximale Performance zu gewährleisten.Ausgestattet mit 100% japanischen 105°C Kondensatoren gewährleistet das RM1000x maximale Langlebigkeit und unerschütterliche Zuverlässigkeit über Jahre hinweg. Die Cybenetics Gold Zertifizierung garantiert höchste Energieeffizienz, während der Zero RPM Modus einen nahezu geräuschlosen Betrieb bei niedriger bis mittlerer Last ermöglicht, für ein ungestörtes Arbeits- und Spielerlebnis.Das vollmobulare Design ermöglicht ein extrem aufgeräumtes Kabelmanagement und eine mühelose Installation in nahezu jedem PC-Gehäuse. Dieses Netzteil wird mit allen notwendigen modularen Kabeln geliefert und bietet Ihnen zudem umfassenden Support durch den CORSAIR Kundendienst.","{""ATX-Version"":""ATX 3.1"",""Breite"":""150 mm"",""Farbe"":""Schwarz"",""Formfaktor"":""ATX"",""Höhe"":""86 mm"",""Kategorie (Breadcrumb)"":""Computer, Tablets & Netzwerk > PC-Komponenten & -Teile > Netzteile"",""Kondensatoren"":""100% japanische 105°C"",""Länge"":""150 mm"",""Leistung"":""1000 W"",""Lüftermodus"":""Zero RPM Mode"",""Marke"":""CORSAIR"",""Modell"":""RM1000x"",""Modularität"":""Vollmodular"",""PCIe-Anschlüsse"":""PCIe 5.1 mit 12V-2x6"",""Produktart"":""PC-Netzteil"",""Zertifizierung"":""Cybenetics Gold"",""Zustand"":""Neu""}",201.94 EUR,XGA0103B,1
Ninja Plancha-Grillplatte XL: Schonendes Garen für perfekte Ergebnisse,Ninja,"Garten & Terrasse > Grills, Heizstrahler & Picknickzubehör > Grillzubehör",SKU-7499091535,0622356278348,"Verwandelt Ihren Grill in eine große, flache Garfläche. | Ideal für schonendes Garen empfindlicher Speisen. | Gleichmäßige Hitzeverteilung für perfekte Ergebnisse. | Glatte Oberfläche reduziert das Anhaften von Speisen. | Müheloses Wenden und komfortables Servieren der Gerichte. | Robuste, hitzebeständige Metallkonstruktion für Langlebigkeit. | Einfaches, werkzeugloses Einsetzen und Entnehmen der Platte.","Die Ninja Plancha-Grillplatte XL verwandelt Ihren Ninja Woodfire Grill in eine große, durchgehend flache Garfläche für empfindliche Speisen. Fisch, Gemüse, Meeresfrüchte und kleinteilige Zutaten gelingen schonend gegart, aromatisch und mit kontrollierter Bräunung.

Die passgenaue Platte sitzt stabil im Grillrahmen, verteilt die Hitze gleichmäßig und reduziert dank glatter Oberfläche das Anhaften. So lassen sich selbst feine Speisen mühelos wenden und direkt von der Plancha komfortabel servieren.

Die robuste, hitzebeständige Ausführung ist als Zubehör für ausgewählte Ninja Woodfire Modelle konzipiert und wird werkzeuglos eingesetzt wie entnommen. Im Lieferumfang enthalten ist eine Ninja Plancha-Grillplatte XL; für lange Lebensdauer werden Handreinigung und Beachtung der Herstellerhinweise empfohlen.","{""| EAN"":""0622356278348"",""| Farbe"":""Schwarz"",""| Form"":""Rechteckig"",""| Geeignet für"":""Ninja Woodfire Grills"",""| Herstellernummer"":""XSKOGXLFPLTEU"",""| Kategorie"":""Haus & Garten > Grills, Heizstrahler & Outdoor-Küchen > Grillzubehör > Grillplatten & -roste"",""| Marke"":""Ninja"",""| Material"":""Metall"",""| Oberflächenbeschichtung"":""Antihaft"",""| Produktart"":""Plancha-Grillplatte"",""Abmessungen"":""nicht angegeben"",""Farbe"":""Schwarz/Anthrazit"",""GPSR Manufacturer name"":""Ninja"",""Kategorie"":""Garten & Terrasse > Grills, Heizstrahler & Picknickzubehör > Grillzubehör"",""Kompatibilität"":""Ausgewählte Ninja Woodfire Grills (modellabhängig)"",""Lieferumfang"":""1 x Ninja Plancha-Grillplatte XL"",""Marke"":""Ninja"",""Material"":""Metall"",""Modellnummer"":""XSKOGXLFPLTEU"",""Oberfläche"":""glatt"",""Pflegehinweis"":""Handwäsche empfohlen"",""Produktart"":""Plancha-Grillplatte XL"",""Produktname"":""Ninja Plancha-Grillplatte XL – schonendes Garen empfindlicher Speisen""}",29.99 EUR,,0
"CMP Kinder Schneestiefel Rae WP – Warm, trocken und sicher durch den Winter",CMP,Kleidung & Accessoires > Herren > Herrenschuhe > Stiefel,SKU-7543211550,8056381903395,,"Die CMP Rae WP Kinder Schneestiefel halten kleine Füße zuverlässig warm und trocken, selbst bei Schnee und Matsch. Sie bieten optimalen Schutz für winterliche Abenteuer, egal ob im Kindergarten, in der Schule oder bei Outdoor-Erkundungen.Gefertigt aus einer robusten Kombination von Textil, Leder und Synthetik, widerstehen diese Stiefel den Herausforderungen der kalten Jahreszeit. Das kuschelige Innenfutter aus Textil, Kunstpelz und Polyester sorgt für wohlige Wärme und eine griffige Profilsohle für sicheren Halt auf glatten Untergründen.Ein Paar dieser hochwertigen CMP Rae WP Schneestiefel ist sofort einsatzbereit für alle Winteraktivitäten und verspricht langanhaltende Freude. Bitte beachten Sie für eine optimale Passform und zur Werterhaltung die Hersteller-Größentabelle sowie die beiliegenden Pflegehinweise.","{""Absatzhöhe"":""Flach (0 bis 2,5 cm)"",""Abteilung"":""Kinder"",""Anlass"":""Freizeit"",""Farbcode"":""N950"",""Farbe"":""Schwarz/Blau"",""Geschlecht"":""Unisex"",""GPSR Manufacturer address"":""Via Merlo 2, 36060 Romano d'Ezzelino (VI), Italien"",""GPSR Manufacturer name"":""CMP"",""Handgefertigt"":""Nein"",""Herstellernummer"":""39Q4964"",""Innenmaterial"":""Textil, Kunstpelz, Polyester"",""Jahreszeit"":""Winter"",""Kategorie"":""Kleidung & Accessoires > Herren > Herrenschuhe > Stiefel"",""Marke"":""CMP"",""Modell"":""Rae Snow Boots WP"",""Muster"":""Einfarbig"",""Obermaterial"":""Textil, Leder, Synthetik"",""Personalisieren"":""Nein"",""Produktart"":""Stiefel"",""Schuhgröße"":""28"",""Schuhschafttyp"":""Mid-Calf"",""Schuhweite"":""Normal"",""Sohle"":""Gummi, Synthetik"",""Stil"":""Schneestiefel"",""Verschluss"":""Reißverschluss"",""Vintage"":""Nein"",""Wasserdicht"":""Ja"",""Wasserdichtigkeit"":""Ja"",""Zielgruppe"":""Kinder""}",47.87 EUR,XGA0301B,1
NEOLYMP Yogamatte Rutschfest & Biologisch Abbaubar für Yoga & Pilates,NEOLYMP,Sport > Fitness & Jogging > Yoga & Pilates > Yogamatten,SKU-7627745924,4260623660043,"Rutschfeste Oberfläche für sicheren Halt bei jeder Übung. | Biologisch abbaubar und frei von schädlichen Stoffen. | Gelenkschonende Dämpfung für hohen Komfort und Schutz. | Vielseitig einsetzbar für Yoga, Pilates und Fitnessübungen. | Leicht zu reinigen und wasserabweisend für einfache Pflege. | Großzügige Maße von 183x61 cm bieten viel Bewegungsfreiheit.","Die NEOLYMP Yogamatte in leuchtendem Limegrün ist Ihr idealer Begleiter für Yoga, Pilates und Fitness, sowohl im Studio als auch im Freien. Mit ihren großzügigen Maßen von 183 x 61 cm bietet sie ausreichend Platz für eine Vielzahl von Übungen und sorgt dank ihrer rutschfesten Oberfläche für maximale Stabilität bei jeder Bewegung. Die zweilagige Matte besitzt eine griffig strukturierte Oberfläche und ein weiches, gelenkschonendes Trägermaterial.

Diese Matte zeichnet sich durch ihre umweltfreundlichen Materialeigenschaften aus: Sie ist laut Hersteller zu 100 % biologisch abbaubar und frei von PVC, Latex, Gummi, Toxinen sowie giftigen Weichmachern. Dies macht sie besonders hautfreundlich und sicher für den täglichen Gebrauch. Der zweilagige Aufbau mit farblich abgesetzter Unterseite sorgt zudem für zusätzliche Dämpfung und Langlebigkeit.

Die Pflege der Matte ist denkbar einfach, da ihre wasserabweisende Oberfläche leicht mit handwarmem Seifenwasser und einem weichen Tuch oder einer Bürste zu reinigen ist. Nach dem Training einfach abwischen und vollständig trocknen lassen, um die Langlebigkeit zu gewährleisten. Ihre robuste Bauweise macht sie zur perfekten Wahl für den täglichen Einsatz und intensive Trainingseinheiten, egal ob zu Hause, im Studio oder im Freien.","{""Aktivität"":null,""Anzahl der Einheiten"":null,""Besonderheiten"":""Rutschfest, Gelenkschonend, Zweilagig, Wasserabweisend"",""Breite"":""61 cm"",""Farbe"":""Lime (Neongrün)"",""GPSR Manufacturer name"":""NEOLYMP"",""Kategorie"":""Sport > Fitness & Jogging > Yoga & Pilates > Yogamatten"",""Länge"":""183 cm"",""Maßeinheit"":null,""Material"":""Biologisch abbaubar, PVC-, Latex-, Gummi-, Toxin- und Weichmacher-frei"",""Modell"":null,""Produktart"":null,""Stärke"":null}",14.99 EUR,,0
Polo Ralph Lauren Kinder Sneaker: Zeitloser Stil & hoher Komfort,Polo Ralph Lauren,Kleidung & Accessoires > Herren > Herrenschuhe > Sneaker,SKU-7680238839,196382334601,"Zeitloses Design für einen stilvollen Auftritt Ihrer Kinder. | Maximaler Tragekomfort für den gesamten Tag beim Spielen. | Langlebiges Synthetik-Obermaterial für anhaltende Freude und Strapazierfähigkeit. | Besonders pflegeleicht, ideal für den aktiven Alltag von Kindern. | Sicherer Halt und individuelle Fußanpassung durch präzise Schnürung. | Moderne Weiß/Navy-Farbkombination, perfekt zu vielen Kinder-Outfits. | Ganzjährig flexibel einsetzbar und mühelos kombinierbar für jeden Anlass.","Die Polo Ralph Lauren Theron V Sneaker bieten Kindern und Jugendlichen zeitlosen Stil sowie höchsten Tragekomfort für jeden Tag. Sie sind die perfekte Wahl für den Schulalltag, die Freizeit und leichte sportliche Aktivitäten, wo Langlebigkeit und ein ansprechendes Design gefragt sind.Gefertigt aus robustem Synthetik-Obermaterial, garantieren diese Sneaker beeindruckende Langlebigkeit und sind dabei besonders pflegeleicht im täglichen Gebrauch. Die präzise Schnürung ermöglicht eine individuelle Anpassung an den Fuß, wodurch ein sicherer Halt und ganztägiger Tragekomfort gewährleistet wird.Dank ihrer vielseitigen Weiß/Navy-Farbkombination sind diese Sneaker ganzjährig einsetzbar und lassen sich mühelos mit verschiedenen Outfits kombinieren. Der Lieferumfang umfasst ein Paar Sneaker im Originalkarton, bereit für den sofortigen Einsatz und langanhaltende Freude, unterstützt durch unseren zuverlässigen Kundenservice.","{""Absatzhöhe"":""Flach (0 bis 2,5 cm)"",""Abteilung"":""Unisex Kinder"",""Altersgruppe"":""Kinder"",""Anlass"":""Freizeit"",""Besonderheiten"":""Atmungsaktiv, Leicht"",""Farbe"":""Weiß"",""Geschlecht"":""Unisex"",""GPSR Manufacturer name"":""Polo Ralph Lauren"",""Größensystem"":""EU"",""Handgefertigt"":""Nein"",""Herstellernummer"":""RF104105"",""Jahreszeit"":""Ganzjährig"",""Kategorie"":""Kleidung & Accessoires > Herren > Herrenschuhe > Sneaker"",""Marke"":""Polo Ralph Lauren"",""Modell"":""Theron V"",""Modellnummer"":""RF104105"",""Modellnummer Hersteller"":""RF104105"",""Muster"":""Ohne Muster"",""Obermaterial"":""Synthetik"",""Personalisieren"":""Nein"",""Produktart"":""Sneaker"",""Schuhgröße EU"":""36"",""Schuhgröße US"":""5.5"",""Schuhweite"":""Normal"",""Signiert"":""Nein"",""Sportart"":""Freizeit"",""Stil"":""Sneaker, Low-Top"",""Style-Code"":""32946243-004"",""Verschluss"":""Schnürung"",""Vintage"":""Nein"",""Zielgruppe"":""Kinder/Teens (Unisex)"",""Zustand"":""Neu mit Karton""}",50.15 EUR,XGA0302B,1
db-tronic Raspberry Pi 5 Starter-Set 8GB RAM für anspruchsvolle Projekte,db-tronic,Münzen > Historische Wertpapiere > USA & Kanada > Elektronik & Computer,SKU-7721659409,613192999,"Leistungsstarker Raspberry Pi 5 mit 8GB RAM für anspruchsvolle Aufgaben. | Umfassendes Starter-Set ermöglicht sofortigen und unkomplizierten Projektstart. | Ideal für IoT, Elektronik und innovative Smart-Home-Lösungen. | Hochwertige Komponenten sichern zuverlässigen Betrieb und lange Lebensdauer. | Einfacher Einstieg für Hobbyisten, Studenten und professionelle Entwickler. | Vielseitige Anwendungsmöglichkeiten unterstützen Ihre kreativen Visionen optimal.","Das db-tronic Raspberry Pi 5 8GB RAM Starter-Set bietet die ideale Grundlage für den schnellen Einstieg in die Welt der Einplatinencomputer. Es ermöglicht Hobbyisten, Studenten und professionellen Entwicklern, anspruchsvolle Projekte mühelos zu realisieren und innovative Ideen umzusetzen.Im Zentrum dieses Sets steht der leistungsstarke Raspberry Pi 5 mit 8GB Arbeitsspeicher, dessen hochwertige Komponenten eine zuverlässige Funktion und Langlebigkeit gewährleisten. Der Lieferumfang umfasst neben dem Pi 5 ein umfassendes Zubehörpaket, das einen sofortigen und unkomplizierten Start ermöglicht.Dieses Set ist perfekt für vielfältige Anwendungen in IoT, Elektronik und Smart-Home-Lösungen geeignet und unterstützt Sie bei der Umsetzung Ihrer kreativen Visionen. Für Fragen oder Unterstützung steht Ihnen unser engagierter Kundenservice jederzeit gerne zur Verfügung.","{""Anwendungsbereich"":""IoT, Elektronik, Smart Home"",""Arbeitsspeicher"":""8 GB"",""Besonderheiten"":""Starter-Set"",""GPSR Manufacturer name"":""db-tronic"",""Herstellernummer"":""SKU-7721659409"",""Lieferumfang"":""Raspberry Pi 5, Zubehörpaket"",""Marke"":""db-tronic"",""Modell"":""Raspberry Pi 5"",""Produktart"":""Einplatinen-Computer Starter-Set""}",145.9 EUR,,0
Tamaris Slingpumps Damen – Zeitloser Komfort für jeden Anlass,Tamaris,Kleidung & Accessoires > Damen > Damenschuhe,SKU-7800997883,,"Eleganter Stil für Business, Freizeit und festliche Anlässe. | Ganztägiger Tragekomfort dank bequemer Passform und weichem Obermaterial. | Zeitloses schwarzes Design, mühelos zu jedem Outfit kombinierbar. | Feminine Silhouette durch elegante spitze Schuhform. | Sicherer und stabiler Halt dank modernem Slingback-Riemen. | Unkomplizierte Pflege für langanhaltende Freude am Schuh.","Diese eleganten Tamaris Sling-Ballerinas in klassischem Schwarz sind die perfekte Ergänzung für jede Garderobe. Sie bieten eine stilvolle Option für den Alltag, das Büro oder besondere Anlässe und lassen sich vielseitig kombinieren. Das weiche Obermaterial und die bequeme Passform sorgen für angenehmen Tragekomfort den ganzen Tag über. Das spitz zulaufende Design und der dezente Slingback-Riemen verleihen dem Schuh eine feminine und moderne Ästhetik. Die Pflege dieser Ballerinas ist unkompliziert, sodass sie lange Freude bereiten. Geliefert wird ein Paar dieser zeitlosen und komfortablen Damenschuhe.","{""Absatzhöhe"":""Flach (0-1 cm)"",""Abteilung"":""Damen"",""Anlass"":""Business, Casual, Festlich"",""Farbe"":""Schwarz"",""GPSR Manufacturer name"":""Tamaris"",""Größe"":""41"",""Jahreszeit"":""Frühling, Sommer, Herbst"",""Kategorie"":""Kleidung & Accessoires > Damen > Damenschuhe"",""Marke"":""Tamaris"",""Modellnummer"":""M2940642"",""Muster"":""Ohne Muster"",""Stil"":""Slingpumps"",""Verschluss"":""Slingback-Riemen""}",39.51 EUR,XGA0301B,1
Canon Toner 057H Schwarz für professionelle Druckergebnisse & 10.000 Seiten,Canon,"Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör > Tinte, Toner & Papier",SKU-7892887285,4549292136302,Hervorragende Druckqualität mit gestochen scharfen Texten und präzisen Grafiken. | Minimiert Tonerwechsel dank hoher Reichweite von bis zu 10.000 Seiten. | Senkt effektiv Betriebskosten durch maximale Kapazität und Effizienz. | Garantiert zuverlässige Leistung und optimale Kompatibilität mit Canon Druckern. | Einfache und schnelle Installation für sofortige Einsatzbereitschaft. | Schützt Ihren Drucker und verlängert dessen Lebensdauer nachhaltig.,"Die originale Canon 057H Tonerkartusche in Schwarz liefert stets professionelle Druckergebnisse mit gestochen scharfen Texten und präzisen Grafiken. Sie ist die ideale Wahl für Büros und Homeoffices mit hohem Druckaufkommen, die Wert auf Qualität und Effizienz legen.Diese High Capacity Tonerkartusche wurde spezifisch für Canon i-SENSYS LBP220/230 und MF440/450 Serien konzipiert, um eine optimale Druckqualität und einen zuverlässigen Betrieb zu gewährleisten. Mit einer beeindruckenden Reichweite von bis zu 10.000 Seiten minimieren Sie Tonerwechsel und optimieren Ihre Betriebskosten erheblich.Der Lieferumfang umfasst eine Original Canon 057H Tonerkartusche in Schwarz, die eine schnelle und unkomplizierte Installation ermöglicht. Die Verwendung von Original Canon Toner schützt Ihren Drucker effektiv vor Beschädigungen und trägt maßgeblich zur Verlängerung seiner Lebensdauer bei.","{""Angebotspaket"":""Nein"",""Anzahl der Einheiten"":""1"",""Anzahl der Patronen"":""1"",""Drucktechnologie"":""Laser"",""Farbe"":""Schwarz"",""GPSR Manufacturer name"":""Canon"",""Herstellernummer"":""3010C004"",""Kapazität"":""High Capacity"",""Kategorie"":""Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör > Tinte, Toner & Papier"",""Kompatible Marken"":""Canon"",""Kompatible Modelle"":""i-SENSYS LBP220 Series, i-SENSYS LBP230 Series, i-SENSYS MF440 Series, i-SENSYS MF450 Series"",""Marke"":""Canon"",""Maßeinheit"":""Einheit"",""Modell"":""057H"",""Modifizierter Artikel"":""Nein"",""Original"":""Ja"",""Produktart"":""Tonerkartusche"",""Produktlinie"":""Canon i-SENSYS"",""Reichweite"":""10000 Seiten"",""Serie"":""LBP220 Series, MF440 Series"",""Zustand"":""Neu""}",128.98 EUR,XGA0101B,2
"TOPTREK Fahrradabdeckung: Ganzjahresschutz, wasserdicht für 1 Fahrrad",TOPTREK,Sport > Radsport > Fahrradzubehör,SKU-7926913408,0313030022097,Robuster 210D Oxford-Gewebe für hohe Langlebigkeit. | Umfassender Schutz vor Witterungseinflüssen und UV-Strahlung. | Integrierte Ösen zur effektiven Diebstahlsicherung. | Einfache Handhabung und schnelle Anbringung am Fahrrad. | Inklusive kompakter Aufbewahrungstasche für unterwegs. | Ideal für ganzjährigen Schutz im Außenbereich.,"Die TOPTREK Fahrradabdeckung aus robustem 210D Oxford-Gewebe bietet Ihrem Fahrrad optimalen Schutz bei jeder Witterung. Sie bewahrt Ihr wertvolles Zweirad zuverlässig vor Regen, Wind, Schnee und UV-Strahlung, sodass es stets neuwertig bleibt.Praktische Ösen ermöglichen eine effektive Diebstahlsicherung mit einem optionalen Schloss, während die einfache Handhabung eine schnelle Anbringung und Abnahme garantiert. Diese Premium-Schutzhülle ist ideal für die ganzjährige Lagerung im Freien und schützt Ihr Fahrrad umfassend vor Umwelteinflüssen.Mit Abmessungen von 200 x 110 x 70 cm passt die Abdeckung für die meisten Standardfahrräder und wird inklusive einer kompakten Aufbewahrungstasche geliefert. Das strapazierfähige Material gewährleistet eine lange Lebensdauer und bietet Ihnen sorgenfreien Schutz für Ihr Fahrrad.","{""Angebotspaket"":""Nein"",""Beschreibung des Angebotpakets"":null,""GPSR Manufacturer name"":""TOPTREK"",""Herstellerland - und Region"":null,""Herstellernummer"":""846236311"",""Kategorie"":""Sport > Radsport > Fahrradzubehör"",""Marke"":""TOPTREK"",""Modifikationsbeschreibung"":null,""Modifizierter Artikel"":""Nein""}",17.65 EUR,XSGA0103B,1
"Laser-Tonerkartusche Magenta Ersatz für Brother TN-423M Kompatibel mit DCP, HL, MFC Serien",Unbekannt,"Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör > Tinte, Toner & Papier",SKU-7948301538,8718891015578,"Kompatibel mit Brother Laserdruckern | Modell: B423M | Farbe: Schwarz | Scharfe Texte und brillante Grafiken | Schützt den Drucker vor Verschleiß | Einfache und schnelle Installation | Hohe Zuverlässigkeit und Lebensdauer | Kostengünstige, umweltfreundliche Alternative","Diese kompatible Tonerpatrone in Schwarz liefert gestochen scharfe Texte und brillante Grafiken für Ihre Brother Laserdrucker. Sie wurde speziell für zuverlässige Leistung und professionelle Druckergebnisse entwickelt, um Ihre Erwartungen stets zu übertreffen.Hergestellt aus hochwertigen Komponenten, garantiert diese Patrone eine lange Lebensdauer und schützt Ihren Drucker effektiv vor Verschleiß. Im Lieferumfang ist eine gebrauchsfertige Tonerpatrone enthalten, die eine einfache und schnelle Installation ermöglicht.Profitieren Sie von einer kostengünstigen Drucklösung ohne Kompromisse bei der Qualität und reduzieren Sie gleichzeitig Ihre Betriebskosten erheblich. Diese Patrone ist mit einer Vielzahl von Brother HL- und MFC-Druckermodellen kompatibel und bietet eine umweltfreundliche Alternative zu Originalprodukten.","{""Angebotspaket"":""Nein"",""Anzahl der Einheiten"":""1"",""Druckermarke"":""Brother"",""Druckqualität"":""Gestochen scharf"",""Drucktechnologie"":""Laser"",""Farbe"":""Schwarz"",""GPSR Manufacturer name"":""Kompatibel"",""Herstellernummer"":""B423M"",""Kategorie"":""Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör > Tinte, Toner & Papier"",""Kompatibel Mit"":""Brother Druckermodellen"",""Kompatible Modelle"":""Brother DCP-L8410 CDN, DCP-L8410 CDW, HL-L8260CDW, HL-L8360CDW, MFC-L8690CDW, MFC-L8900CDW"",""Marke"":""Kompatibel"",""Maßeinheit"":""Einheit"",""Modifizierter Artikel"":""Nein"",""Produktart"":""Tonerpatrone"",""Verpackungsinhalt"":""Eine Tonerpatrone"",""weight"":1,""Zustand"":""Neu""}",26.95 EUR,XGA0101B,2
Engelbert Strauss Bundhose e.s. motion 2020 Winter: Optimaler Kälteschutz,,Sport > Reit- & Fahrsport > Reithelme & Schutzkleidung,SKU-7961309823,5907455902611,,"Die Engelbert Strauss e.s. motion 2020 Winter Bundhose bietet Herren optimalen Kälteschutz und maximale Bewegungsfreiheit für anspruchsvolle Wintereinsätze. Ihr robustes Mischgewebe aus 65% Polyester und 35% Baumwolle garantiert dabei höchste Strapazierfähigkeit und eine lange Lebensdauer.Zahlreiche, strategisch platzierte Taschen bieten großzügigen Stauraum für Werkzeuge und persönliche Utensilien, was die Effizienz im Arbeitsalltag deutlich steigert. Das moderne Schwarz/Platin-Design mit Kontrastnähten macht sie zudem vielseitig einsetzbar für Arbeit und Outdoor-Aktivitäten.Im Lieferumfang ist eine Engelbert Strauss e.s. motion 2020 Winter Bundhose enthalten, die sich durch ihre besondere Pflegeleichtigkeit auszeichnet. Für Fragen zur Pflege oder weiteren Anliegen steht unser engagierter Kundenservice jederzeit gerne zur Verfügung.","{""Abteilung"":""Herren"",""Anlass"":""Arbeit, Outdoor"",""Farbe"":""Schwarz/Platin"",""GPSR Manufacturer name"":""Engelbert Strauss"",""Größe"":""44"",""Jahreszeit"":""Winter"",""Kategorie"":""Sport > Reit- & Fahrsport > Reithelme & Schutzkleidung"",""Marke"":""Engelbert Strauss"",""Material"":""65% Polyester, 35% Baumwolle"",""Modell"":""e.s. motion 2020 Winter"",""Passform"":""Regular"",""Produktart"":""Bundhose"",""Stil"":""Arbeitshose"",""Verschluss"":""Reißverschluss, Knopf"",""Zustand"":""Neu mit Etikett""}",89.13 EUR,XSGA0103A,0
Rohema Drumsticks Premium Holz für Präzision & Langlebigkeit,Rohema,Antiquitäten & Kunst > Musikinstrumente > Schlaginstrumente,SKU-7998641824,,,"Diese Rohema Premium Holz Drumsticks bieten Schlagzeugern aller Stilrichtungen eine herausragende Balance und ein äußerst angenehmes Spielgefühl. Sie sind perfekt für anspruchsvolle Proben, intensive Studio-Sessions und mitreißende Live-Auftritte geeignet.Gefertigt aus sorgfältig ausgewähltem Premium-Holz, garantieren diese in Deutschland hergestellten Sticks eine außergewöhnliche Langlebigkeit und stets konsistente Performance. Die präzise Verarbeitung und die Verwendung erstklassiger Materialien gewährleisten höchste Zuverlässigkeit und einen unvergleichlichen Klang bei jedem Einsatz.Sie erhalten ein Paar dieser hochwertigen Drumsticks, die sofort einsatzbereit sind und Ihr Schlagzeugset optimal ergänzen. Für eine maximale Lebensdauer empfiehlt sich die Lagerung bei Raumtemperatur und der Schutz vor extremer Feuchtigkeit.","{""Anzahl"":""1 Paar (2 Stück)"",""Geeignet für"":""Schlagzeuger aller Stilrichtungen"",""GPSR Manufacturer name"":""Rohema"",""Herstellungsland"":""Deutschland"",""Kategorie"":""Antiquitäten & Kunst > Musikinstrumente > Schlaginstrumente"",""Marke"":""Rohema"",""Material"":""Premium Holz"",""Produktart"":""Drumsticks"",""Zustand"":""Neu""}",9.02 EUR,XGA0202C,2
Trotec Standventilator TVE 16 S: Sofortige Erfrischung & angenehmes Raumklima,,Sammeln & Seltenes > Disneyana > Vintage > Haushaltsartikel,SKU-8004480244,4052138013946,,"Der Trotec TVE 16 S Standventilator bietet an heißen Tagen sofortige Erleichterung und schafft ein spürbar angenehmes Raumklima in jedem Zuhause oder Büro. Sein leistungsstarker 50W Motor ermöglicht drei einstellbare Geschwindigkeitsstufen für eine individuell anpassbare, erfrischende Brise.Eine automatische 90°-Oszillation verteilt die Luft effizient und gleichmäßig im gesamten Raum, während die flexible Höhenverstellbarkeit eine präzise Ausrichtung des Luftstroms gewährleistet. Das robuste und standsichere Design mit glatten Oberflächen garantiert einen kippfesten Betrieb und eine einfache, hygienische Reinigung.Dieser Standventilator ist sofort einsatzbereit und wird Ihnen komplett geliefert, um Ihr Wohn- oder Arbeitsumfeld umgehend zu verbessern. Für alle Fragen zu Installation, Nutzung oder Pflege steht Ihnen unser engagiertes Kundenserviceteam jederzeit gerne mit Rat und Tat zur Seite.","{""Anzahl der Geschwindigkeitsstufen"":""3"",""Besonderheiten"":""Automatische Oszillation, Höhenverstellbar, 3 Geschwindigkeitsstufen"",""Farbe"":""Weiß"",""GPSR Manufacturer name"":""Trotec"",""Höhenverstellbar"":""Ja"",""Kategorie (Breadcrumb)"":""Haushaltsgeräte > Klimaanlagen & Heizgeräte > Ventilatoren > Standventilatoren"",""Leistung"":""50 W"",""Marke"":""Trotec"",""Modell"":""TVE 16 S"",""Oszillation"":""Ja"",""Oszillationswinkel"":""Automatisch 90°"",""Produktart"":""Standventilator"",""Steuerung"":""Tasten"",""Stromversorgung"":""Netzbetrieb (220-240 V)"",""Zimmer"":""Wohnzimmer, Schlafzimmer, Büro""}",35.69 EUR,XGA0203E,0
